DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9,param_1,param_2,param_3,param_4
344_910851,1.0,1.0052807363782443,0.9910873639871285,0.9553470656443092,0.814091967141032,0.5683715114008197,0.2477032685468048,0.07990534730586084,0.00903357791968761,0.00879454544511238,-3.5278452871453116,0.9938768872642267,6.449856849595049,-0.041126345569833765
344_717431,1.0,1.0067105694981238,0.9704136036142561,0.8920756991384793,0.7302194005304837,0.5208362554748169,0.2531196493930672,0.07233169594955102,0.009794297443035421,0.00899024474086823,-2.7266928011540554,0.9897288337602012,4.858993220803966,-0.08898758696027477
344_910925,1.0,1.0052151729472814,1.0037753818790927,0.9542492664880655,0.8194781938301114,0.5903361375270185,0.25437702338316054,0.09256006520194068,0.010456616363593107,0.009910314983807653,-3.4600366049600098,0.9961764456449498,6.43433483269904,-0.04193209447465757
344_908457,1.0,1.0062768921939753,0.9963299613168365,0.9764803757143612,0.8171823170334347,0.5244662382956577,0.21022132829257983,0.036275191571696376,0.009938709477273548,0.010486258363997407,-4.096797697091242,0.9988749792605215,7.11340315553687,-0.0272093302157891
344_910853,1.0,1.0140373622855317,0.9969504892407732,0.9785219586014617,0.847535544040638,0.6638412239069977,0.41407843319273274,0.15924311588702794,0.00861024127547215,0.007494565574110809,-2.4475252545700075,1.0016247142506378,5.541677385017349,-0.11359850122344158
344_908123,1.0,1.0084656048336174,0.9935216405969707,0.9462894616105081,0.7917128572040891,0.552480973882312,0.2467220253197731,0.08662082608098468,0.01410391445339315,0.011311720223270655,-3.317847279001591,0.9965873351504703,5.972704205744916,-0.045902384629538585
344_905962,1.0,1.0099710091392828,1.0065380337782321,0.9881853367116555,0.8697372942109524,0.572067937693937,0.24925418351944148,0.033795837669499854,0.009674157153351418,0.011133948454037812,-4.207319898560266,1.0029681672955961,7.685021660727137,-0.025708146545389488
344_722045,1.0,1.0013728557634918,0.9844257348433009,0.9394818797337497,0.8123794482178681,0.5119711773549063,0.2314189606672493,0.09963371850849012,0.010068848410088793,0.008338322371965102,-3.5835628949868426,0.992205809751439,6.2835241596446245,-0.030195851560514204
344_917486,1.0,1.0069232881158288,0.9866978624330002,0.9634466022468121,0.7911630006864658,0.5596941394434225,0.2659169280167299,0.04018927569298893,0.006499289547991063,0.007682182835299728,-3.3874723558008606,0.9949673583167971,6.187773697000472,-0.057301716710088685
344_906826,1.0,1.0113295501108595,1.0199007098886523,0.9775819272480524,0.8486564807623163,0.6155474464287318,0.3540028764304586,0.10728387624304281,0.014730918012290617,0.011434235883285232,-2.95015688718227,1.007971752219002,5.9485001101917945,-0.06855133272176483
344_909784,1.0,1.0201838482900547,1.0023252340680495,0.976362863807031,0.7787437689026148,0.5776136927284671,0.4368693914606946,0.2225075041221798,0.01026065863318434,0.010183912164411802,-1.574273109568256,1.0180066550092342,3.891811024902825,-0.23714904083168895
344_909260,1.0,1.0069259394220558,0.9640028712905622,0.8656579724914039,0.6936982427921561,0.5123948871566711,0.23529879259754546,0.07354521185358825,0.008851597223124138,0.007950512730825102,-2.4949480750507473,0.9907063893300205,4.379079882584445,-0.1105293924890706
344_1298141,1.0,1.0100674916062984,0.9869482746421334,0.9238902550493331,0.7788654275673899,0.53933519758877,0.3019156778313249,0.04987840519161558,0.01002583645144532,0.010185941361746952,-2.9186781890922138,0.9940333242056696,5.401603145710094,-0.07915628800998355
344_910930,1.0,1.0154843892069827,0.9612099758323658,0.8701638021712378,0.710887368586051,0.5149162573592402,0.19392970742939966,0.05545317035464368,0.008653997858040765,0.007718250943985842,-2.9179508593155585,0.9865114812982648,4.974843579265182,-0.08085647478522771
344_907172,1.0,1.0170034915486705,0.9906387370045944,0.9719281477978354,0.8316616644197993,0.6081849866255732,0.4023701403390005,0.148229977099874,0.008526165934855962,0.008519092534044313,-2.351968897089377,1.0043717329544097,5.11283035253633,-0.1209626576824883
344_910706,1.0,1.006445728414158,0.9960192464696602,0.9482897546811642,0.7808635078095162,0.5206085497333346,0.22544948195580525,0.0632379788216265,0.00717762075992965,0.0068080165947832305,-3.486483899012386,0.997810450233134,6.072739386594964,-0.045850685749074443
344_905959,1.0,1.0102520573990572,0.9788687312095973,0.8768338871913477,0.7094086939940003,0.5222155201225078,0.25132517048152003,0.10407370106644594,0.012372973348060149,0.01031378478202969,-2.4175354159810833,0.9970999349892714,4.337227559891204,-0.1102770788028512
344_907277,1.0,1.0031787837483,0.9647269121432833,0.8386516162665173,0.6092145472939821,0.42429930254151893,0.2278375699339321,0.07684901422964426,0.0057828754109677406,0.0050095780278540634,-2.366424501769191,1.002644759734082,3.7605179661400734,-0.11698044731875731
344_1327766,1.0,1.0000922160554122,0.9702192067609601,0.8875340032182548,0.679241100939937,0.4162561909897209,0.20914782060504766,0.06544609088334725,0.007092173880016808,0.00620097428673215,-3.050868913157743,0.9943463662130612,4.821105852011727,-0.0616617074276483
344_1240220,1.0,1.0069279529223005,0.983490036652463,0.9247236634216945,0.7536904711076544,0.48205772003960845,0.2015649970473836,0.08743703702606365,0.010051411276282682,0.009721598711972769,-3.4211793271613304,0.9947816008447466,5.719310305880103,-0.03911388554481149
344_949161,1.0,1.0001876395696456,0.9825663964299012,0.9281199720639733,0.7307602420357353,0.43158942724295946,0.19826268987113085,0.07224831324785123,0.008253509400962736,0.008099466461439244,-3.548120273020854,0.9957918877092383,5.688515584337758,-0.034117857004345845
344_908125,1.0,1.0153185065444632,0.9880435619558212,0.9762792696631313,0.8554992554894518,0.6065155927653156,0.4095587402645394,0.13247467972488214,0.011638896109808654,0.011604394017297069,-2.559298886237818,1.002676336045282,5.488792206301547,-0.09836180657347915
344_906823,1.0,1.009691579506074,0.9816838168610811,0.9561034116436773,0.8299562931835114,0.600245123928239,0.2776349183528512,0.08401367955384226,0.0102610960615475,0.009352021773294911,-3.4496141797545974,0.9908872928755513,6.564713559720293,-0.044808027997247375
