DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9,param_1,param_2,param_3,param_4
344_910851,1.0,1.0063951658326005,0.9900339843587816,0.9468904280917199,0.7976002679226899,0.5528035590612794,0.256149064334272,0.08360459174858259,0.009440950142452501,0.009019511231251841,-3.2944536528347013,0.9950415661925689,5.989848785961531,-0.05047140070632131
344_717431,1.0,1.0071100823925403,0.9796971041723455,0.9152547448388049,0.7556639846174158,0.529035931098278,0.2588572547574032,0.07981776607042768,0.009821309904126406,0.009117360879129767,-2.9090608301343543,0.9925149996510977,5.222778992607095,-0.07361919671778806
344_910925,1.0,1.006362384117119,0.9963779933047637,0.9463415285135981,0.8002933812672297,0.5637858721243788,0.2594859417524498,0.08993195069662252,0.01015246936440525,0.009577396000599479,-3.2535107643469674,0.9962626411216271,5.9695400558961715,-0.05161321791704686
344_908457,1.0,1.0068932437404658,0.9926552830236357,0.9574570831267459,0.7991454428688913,0.5308509225086984,0.23740809420715947,0.06178951388150036,0.009893515921245469,0.009865367690694356,-3.583366838965905,0.9971941982278223,6.324476134125964,-0.0396055252842814
344_910853,1.0,1.0107734787862441,0.992965546985604,0.9584778745702962,0.8143220563724929,0.6005384153143685,0.33933664665723595,0.12327347603916614,0.00922928182034477,0.008369521295751057,-2.693495428515817,0.9997620022326335,5.429876978484183,-0.08802544892932183
344_908123,1.0,1.007987600060287,0.9912511226637027,0.9423616260748193,0.7864107129542185,0.5448582903020256,0.2556584427207561,0.08696233113614452,0.011976118409305271,0.01027809862033098,-3.1978018135408104,0.9965514412559615,5.768910482795642,-0.05305653072331805
344_905962,1.0,1.0087403022131198,0.9977593192543335,0.963309563625393,0.8254229314576501,0.5546517722078381,0.2569245218205903,0.0605498369304021,0.009761239759284404,0.010189212735714558,-3.6322937076054815,0.9983245025678492,6.5914302629672825,-0.038851028410016385
344_722045,1.0,1.0044412255252242,0.9867031697868678,0.9389578351364402,0.7967440084611079,0.5246033920383226,0.24800691039449418,0.09346877734989723,0.009958585387653093,0.008791399694678202,-3.3174399875853053,0.9943620299083314,5.904825305717873,-0.04499630940522501
344_917486,1.0,1.0072164417013927,0.9878392335817174,0.9509401963929713,0.7861357846954069,0.5484648730825807,0.2652558940692345,0.06374655594214663,0.008173805956604227,0.008463329926345516,-3.2353754033713034,0.9956404687602735,5.878201111318088,-0.05835989673981454
344_906826,1.0,1.0094195726989081,1.0044406573095435,0.9580078588935914,0.814882524733332,0.5763915265752355,0.30929886827609887,0.09729385621717357,0.012289620188754003,0.010339356450338268,-2.9975702194524456,1.002116561303926,5.72770205648142,-0.06531731866613809
